countyfips,date,mobility,yoy_change,year,month,yearmonth,day,Date
51187,2021-07-15 00:00:00,147.5,-0.594222833562586,2021,07,2021-07,15,2021-07-15
51510,2021-07-15 00:00:00,-485.0,5.510067114093959,2021,07,2021-07,15,2021-07-15
51610,2021-07-15 00:00:00,-166.0,-0.49079754601227,2021,07,2021-07,15,2021-07-15
51683,2021-07-15 00:00:00,-6.0,-0.9878296146044625,2021,07,2021-07,15,2021-07-15
11001,2021-07-16 00:00:00,-223.5,-0.3521739130434782,2021,07,2021-07,16,2021-07-16
24009,2021-07-16 00:00:00,-207.0,-1.8518518518518519,2021,07,2021-07,16,2021-07-16
24017,2021-07-16 00:00:00,-105.0,-0.79,2021,07,2021-07,16,2021-07-16
24021,2021-07-16 00:00:00,500.5,-3.3720379146919433,2021,07,2021-07,16,2021-07-16
24031,2021-07-16 00:00:00,215.0,-4.333333333333334,2021,07,2021-07,16,2021-07-16
24033,2021-07-16 00:00:00,-4.5,-0.9833333333333333,2021,07,2021-07,16,2021-07-16
24037,2021-07-16 00:00:00,50.0,-0.7530864197530864,2021,07,2021-07,16,2021-07-16
51013,2021-07-16 00:00:00,-180.0,-0.3661971830985915,2021,07,2021-07,16,2021-07-16
51059,2021-07-16 00:00:00,84.5,-1.449468085106383,2021,07,2021-07,16,2021-07-16
51061,2021-07-16 00:00:00,442.5,-3.13768115942029,2021,07,2021-07,16,2021-07-16
51107,2021-07-16 00:00:00,-391.5,-0.25570342205323193,2021,07,2021-07,16,2021-07-16
51153,2021-07-16 00:00:00,14.0,-1.1255605381165918,2021,07,2021-07,16,2021-07-16
51187,2021-07-16 00:00:00,153.5,-0.5794520547945206,2021,07,2021-07,16,2021-07-16
51510,2021-07-16 00:00:00,-386.0,0.9744245524296675,2021,07,2021-07,16,2021-07-16
51610,2021-07-16 00:00:00,-153.0,-0.5419161676646707,2021,07,2021-07,16,2021-07-16
51683,2021-07-16 00:00:00,358.0,-1.845336481700118,2021,07,2021-07,16,2021-07-16
11001,2021-07-17 00:00:00,-226.0,-0.3633802816901408,2021,07,2021-07,17,2021-07-17
24009,2021-07-17 00:00:00,81.5,-1.268976897689769,2021,07,2021-07,17,2021-07-17
24017,2021-07-17 00:00:00,-11.0,-0.9830769230769231,2021,07,2021-07,17,2021-07-17
