countyfips,countyname,cityid,cityname,czname,statename,statefips,stateabbrev,county_pop2019,ZIP,USPS_ZIP_PREF_CITY,RES_RATIO_x,BUS_RATIO_x,OTH_RATIO,TOT_RATIO_x,TOT_RATIO_y,RES_RATIO_y,BUS_RATIO_y,nearest_city,distance
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11772,PATCHOGUE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,86.29655323799813
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11776,PORT JEFFERSON STATION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,84.14427871120228
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11777,PORT JEFFERSON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,83.89613026090966
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11778,ROCKY POINT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,94.01212020548596
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11779,RONKONKOMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,76.23834646309194
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11780,SAINT JAMES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,73.66123665518505
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11782,SAYVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,78.24317566867113
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11784,SELDEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,83.396981133894
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11786,SHOREHAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,98.16070172376695
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11787,SMITHTOWN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,69.06070791379642
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11788,HAUPPAUGE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,68.1300037140936
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11789,SOUND BEACH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,91.73289186965319
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11790,STONY BROOK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,77.36601912346192
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11792,WADING RIVER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,103.24135559760799
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11794,STONY BROOK,0.0,1.0,0.0,1.0,1.0,0.0,1.0,New York City,77.77705845452864
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11795,WEST ISLIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,60.1161822614051
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11796,WEST SAYVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,76.72667925551848
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11798,WYANDANCH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,53.36697588152622
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11901,RIVERHEAD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,117.17495483415009
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11930,AMAGANSETT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,163.56784080929768
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11931,AQUEBOGUE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,120.14075111202256
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11932,BRIDGEHAMPTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,145.3928540887224
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11933,CALVERTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,107.773852327322
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11934,CENTER MORICHES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,102.80609109164305
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11935,CUTCHOGUE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,132.58116541939847
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11937,EAST HAMPTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,158.3487425673463
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11939,EAST MARION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,149.52357692913205
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11940,EAST MORICHES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,106.5030294529047
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11941,EASTPORT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,108.56709530770183
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11942,EAST QUOGUE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,121.18138574721141
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11944,GREENPORT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,144.4021984343149
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11946,HAMPTON BAYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,126.4742947498608
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11947,JAMESPORT,1.0,0.0,1.0,1.0,1.0,1.0,0.0,New York City,123.90940043302707
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11948,LAUREL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,125.88177904572818
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11949,MANORVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,102.89363953074395
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11950,MASTIC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,98.49618486823695
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11951,MASTIC BEACH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,99.50346792250821
