median_listing_price,active_listing_count,netinflow
774975.0,95.0,-57.0
778500.0,87.0,31.0
775000.0,66.0,-56.0
782247.5,69.0,-4.0
750000.0,63.0,10.0
772142.8571428572,62.0,-32.0
772092.8571428572,66.0,-40.0
774499.5,75.0,76.0
749900.0,62.0,45.0
749900.0,63.0,40.0
758471.4285714284,69.0,-53.0
779900.0,80.0,61.0
799900.0,89.0,14.0
799900.0,82.0,69.0
787400.0,65.0,-24.0
784000.0,59.0,2.0
874900.0,55.0,50.0
882450.0,52.0,-101.0
837500.0,65.0,-162.0
799900.0,76.0,-109.0
809950.0,72.0,-62.0
799900.0,73.0,-105.0
779900.0,78.0,5.0
762200.0,93.0,-63.0
769900.0,114.0,-88.0
736950.0,118.0,-140.0
731250.0,95.0,-87.0
722500.0,82.0,75.0
697000.0,76.0,66.0
762499.5,74.0,97.0
796950.0,82.0,193.0
799000.0,83.0,220.0
744200.0,86.0,153.0
799000.0,78.0,268.0
792450.0,86.0,250.0
849450.0,105.0,117.0
850000.0,108.0,38.0
849000.0,89.0,-13.0
819900.0,69.0,-33.0
656950.0,24.0,-77.0
582450.0,25.0,-61.0
630500.0,31.0,-55.0
547400.0,36.0,-71.0
597950.0,35.0,-70.0
597000.0,44.0,-55.0
607450.0,51.0,-29.0
565000.0,35.0,-74.0
565000.0,44.0,-21.0
499500.0,49.0,-26.0
448500.0,42.0,-55.0
495000.0,30.0,-18.0
522000.0,22.0,-7.0
569000.0,21.0,-45.0
612142.8571428572,27.0,-41.0
598900.0,34.0,-96.0
569000.0,34.0,-118.0
499900.0,33.0,-86.0
559950.0,38.0,-96.0
540000.0,35.0,-70.0
505000.0,32.0,-80.0
589500.0,36.0,-80.0
674000.0,22.0,-85.0
699950.0,16.0,-99.0
634000.0,14.0,-48.0
579000.0,15.0,-7.0
694000.0,20.0,-207.0
699000.0,15.0,-214.0
529000.0,23.0,-202.0
539500.0,27.0,-194.0
662400.0,40.0,-200.0
669000.0,52.0,-235.0
622450.0,66.0,-227.0
599000.0,73.0,-249.0
549950.0,64.0,-149.0
591500.0,58.0,-126.0
559500.0,46.0,-92.0
537277.5,46.0,-40.0
511950.0,57.0,-96.0
492000.0,60.0,-58.0
465001.0,52.0,-88.0
504000.0,56.0,-40.0
521000.0,55.0,-77.0
525450.0,40.0,-48.0
529000.0,51.0,-49.0
519000.0,54.0,-76.0
534450.0,50.0,-34.0
547450.0,36.0,-55.0
1595000.0,87.0,-83.0
